kivjautik	ki+(vja)+uti+k
tahiuqtaa	ta+hi+(u)+qtaa
imingajuq	im+(i)+nga+juq
titqiaq	ti+(tqi)+aq
pataliqun	p+at+(aliq)+un
quviahuktuq	quviahu+(ktu)+q
tuurmiaq	tu+(urmi)+aq
ajuiqhajaa	aju+(iqha)+jaa
niaqun’ngujuq	ni+a+qu+(n’ng)+u+juq
inuktitut	inu+(kti)+tut
patqujaq	p+at+(q)+uja+q
navikhimayuq	na+(vi)+kh+ima+yuq
inugiaktut	inu+(gia)+kt+ut
ulapqidjutikkut	ul+apq+(idj)+ut+ikkut
tigluun	tig+(lu)+un
havaktuq	hav+akt+(u)+q
hilarjuaq	hila+(rju)+aq
nunanut	nuna+(n)+ut
pinahuarluni	pi+(nahuar)+lu+ni
atuqtauyukhaniklu	at+u+(qtauyu)+kha+nik+lu
ilipiruq	ili+(pi)+r+uq
ajjigiiktuk	(ajjig)+i+iktuk
pilihaarnirmi	pi+(lihaar)+nir+mi
umik	(umi)+k
mipku	m+(ipku)
qallurautitlu	qa+ll+(ura)+utit+lu
kamik	ka+(mi)+k
majuaqtuq	ma+j+u+(a)+qtuq
taimaitunik	t+a+i+ma+(i)+tu+nik
allanik	(alla)+nik
inuuhiringnaqtukkut	inu+(uhiringnaqtu)+kkut
aulatjutikkut	aula+t+j+ut+(i)+kkut
nuqhutik	nu+(q)+hu+tik
huliniahuanngittunga	huli+(ni)+ahu+an+ngit+tu+ng+a
ippakhaq	(ippa)+khaq
kingmautik	ki+(ngma)+uti+k
annaktuiliqiyunik	annaktui+(liqi)+yu+nik
akiittuq	a+(ki)+ittuq
nautkutivuq	na+(utk)+uti+vuq
tuquttijuq	t+uq+ut+(t)+i+j+uq
umingmak	umingma+(k)
unniutjutinik	(un)+niutjuti+nik
kuhirnirit	ku+(hirnir)+it
ivalukhaq	(ivalu)+khaq
pihuuyarumayutin	pi+hu+(uya)+ruma+yut+in
qugjuk	q+(ugju)+k
taqturut	taq+tur+(u)+t
angmaqtirun	ang+(maqtir)+un
aahivak	a+(ahi)+vak
amigaqhuutiliqiyunik	amig+aq+hu+(ut)+iliq+iy+u+nik
aliktuq	a+(li)+kt+uq
hinigvik	hi+n+(i)+gv+ik
hinikhaq	hi+(ni)+khaq
taqturuti	taq+tur+(ut)+i
igluliuqti	i+glu+(li)+u+qti
aallat	a+(alla)+t
nipalliqtuq	n+ip+(al)+li+qtuq
angajun’nguq	ang+aju+(n’ng)+uq
nunaptingnut	nuna+(pting)+nut
uingairnaqtuq	ui+nga+(i)+rn+a+qtuq
pingahuiqtuqtuq	pinga+hu+(iqt)+u+qtuq
pualu	pu+(a)+lu
iniqtiqhimavakhimayut	i+(ni)+qtiq+hima+v+akhima+yut
ilihaijaa	ili+ha+(i)+jaa
atuliqtitinikkutlu	at+u+(liqtiti)+nik+kut+lu
muqpaujaq	(muqpa)+uja+q
tatqiqhiutainik	tat+q+iqhi+(uta)+i+nik
tingmijuq	tingm+(i)+j+uq
hukatirut	hu+ka+(tir)+ut
mikkirun	mikk+(ir)+un
nagligijaa	na+(gli)+gijaa
pakkaq	pa+(kk)+aq
hani	h+an+(i)
nauunaitkutmi	na+(uuna)+i+tkut+mi
nirjuti	ni+r+(ju)+ti
paut	pa+(ut)
tiriganniaq	tiri+(ganni)+aq
tuktuvalik	t+uk+(tuva)+lik
nanguqati	nang+(uqati)
qanik	qan+(i)+k
aullaqtuq	a+ull+aq+(tuq)
hikulihaaq	h+iku+(liha)+aq
kilgavikpak	kilg+a+vi+(kpak)
ungalaqtuq	ung+a+(la)+qtuq
mamianaq	(mamian)+aq
arniqijuq	ar+ni+(q)+i+j+uq
kikhuk	ki+(khu)+k
nunataarutaanut	nuna+(ta)+aru+taa+nut
ikayuriami	ik+ayu+(ri)+a+mi
tikinnanga	t+iki+(nna)+ng+a
havaakhat	hav+a+(a)+khat
ilituqhaiyukharnik	ilit+uqhai+(yu)+khar+nik
inukpaugamik	inu+kp+(auga)+mik
amirinikkut	a+(mir)+inikk+ut
aiviqtuq	a+(ivi)+qtuq
tapkuat	ta+p+ku+(at)
puvallaqtuq	p+uv+(alla)+qtuq
iliranaittuq	ilira+(na)+ittuq
amigaittut	amig+a+(ittu)+t
kaavjiq	ka+a+(vji)+q
piyakhat	pi+(yakha)+t
tupaaqtaa	tu+p+(aa)+qtaa
kalluguqtuq	ka+(llugu)+qtuq
kajumiittuq	(kajumi)+ittuq
avin	a+(vi)+n
tiguaqtaa	tig+(u)+a+qtaa
alianaqtuq	al+ia+na+(qtu)+q
iglupiaqtuqtuq	i+glu+(pi)+aqtu+qtuq
uqhurjualiqiji	uqhurjua+(liq)+ij+i
ilauyukharnik	i+la+(u)+yu+khar+nik
nullauhiqtuq	n+ull+au+(hi)+qtuq
pitquhituqarniriit	pit+q+uhi+(tuq)+ar+nir+iit
ikpigjuami	ik+pi+(gju)+a+mi
aaktuut	a+(aktu)+ut
qaffiuyunik	qa+(ffi)+uyu+nik
aullaaqhimajuq	a+ulla+(aq)+hi+majuq
publakhiijuq	p+ub+(lakhi)+i+j+uq
takupkaivikhaatigut	takupka+ivi+(kha)+at+igut
diamond	diam+(o)+n+d
atugiangini	at+u+(gi)+angi+ni
kivvit	kiv+(vi)+t
mivvik	mi+(v)+vi+k
ilagiik	ilagi+(i)+k
kikiak	ki+(ki)+ak
mimiq	mi+(mi)+q
igluqpainnun	igluqpa+(innu)+n
ipikhaun	ip+(ikha)+un
apurvik	apur+v+(i)+k
nigiqtuq	ni+g+(i)+qtuq
taimaa	t+a+i+ma+(a)
ihumaqhutait	i+hum+(aqhu)+t+a+it
iniqhimaittut	ini+(qhima)+it+tut
nulaq	nu+(la)+q
nunavunmiunut	nuna+(vunmi)+unut
ayuqhautit	ayu+(qha)+uti+t
ukhuviaqtaq	uk+hu+vi+(aqta)+q
qaangillu	qa+(angi)+llu
taapkuninga	t+a+a+p+(kuni)+ng+a
tingittaipkun	ti+ngi+ttai+(pk)+un
nuvihijuq	n+uvi+(hi)+j+uq
piqaqtitai	pi+(qaqtita)+i
ublaaq	(ubla)+aq
hatqiqtuq	ha+(tqi)+qtuq
iqaluktuq	iqa+luk+(tuq)
nuijaaqpak	nu+(ija)+aq+pak
piiqtaa	pi+(i)+qtaa
takhijuq	t+ak+(hi)+j+uq
pijuminaqtuq	p+ij+u+(mina)+qtuq
nipikhaun	n+ip+(ikha)+un
pualulik	pu+al+(u)+lik
haniqpaijuq	ha+(niqpai)+j+uq
humi	(hu)+mi
tamaffi	t+ama+(ffi)
munagihimaaqtun	munag+i+(hima)+aqtun
taiguaqtuq	ta+(igu)+a+qtuq
havangtinnatin	hav+ang+(tinna)+tin
nunalaangit	nuna+(la)+a+ngit
uilgaqtuq	u+(ilga)+qtuq
akiliuhiarijaa	ak+ili+(uhiar)+i+jaa
huluk	(hu)+lu+k
inuuqati	inu+(uqati)
nauligaq	na+(uli)+gaq
qannaqtujuq	qa+(nnaqt)+u+juq
nipiliuqtuq	n+ip+(ili)+u+qtuq
im’ruti	(im’r)+uti
malikhautikhat	mal+i+(kha)+utikh+at
kingmiktaq	k+ing+mi+(kt)+aq
nalukaphukhugit	na+lu+(kaphuk)+hu+git
ikkin	ikk+(i)+n
aturutinik	at+u+(r)+uti+nik
qaphinik	qa+(phi)+nik
aturvik	at+u+(rvi)+k
ilatitlu	i+la+(ti)+tlu
tikitinnagik	t+iki+(tinna)+gik
tuhaumapkaivik	tu+h+aum+a+pka+(i)+vi+k
uliuhiniq	(uliuhi)+niq
nama	na+(ma)
tigluuti	ti+(glu)+uti
atuqtauyunut	at+uqt+(a)+uyu+nut
kuungajuq	ku+(u)+nga+juq
titiqqani	t+itiq+q+(a)+ni
kaivaluaqtuq	ka+(ivalu)+a+qtuq
tukaliktuq	t+uk+(ali)+kt+uq
atukiutiyunik	at+u+ki+(uti)+yu+nik
ijaruqtuq	(ijaru)+qtuq
upin’ngaqhiqtuq	upin’nga+(qhi)+qtuq
uunnaalaqijuq	uun+(na)+alaqi+juq
ahinutlu	a+(hi)+nut+lu
uqauhiannin	uqa+(uhi)+anni+n
uqaqtainik	u+(qaqta)+i+nik
imaq	(ima)+q
laisit	lais+(i)+t
puptajuq	pu+(pta)+j+uq
humunngauliqqit	hum+unng+(auliqq)+it
angajukhaq	ang+aju+(kha)+q
angunahuaqti	ang+u+(nahu)+a+qti
aupajaaqtuq	aupajaa+(qtu)+q
atugakhangitlu	at+u+(ga)+kha+ngit+lu
kidjaumainaliqhunni	ki+(dj)+aumainaliqh+unni
napu	na+(pu)
qaritauyarni	qa+ritauya+(rni)
aullaqtinnatin	a+ull+aq+(tinna)+tin
imaatun	im+(aat)+un
arnaq	a+(rna)+q
huvaiqtuq	hu+(va)+i+qtuq
qaffitaalauyuk	qa+(ffi)+taa+la+u+yuk
aluut	a+lu+(u)+t
kauttuarminunngaqtaa	ka+uttu+(arminunng)+a+qtaa
qurluq	qu+(rlu)+q
tuvaaq	(tuva)+aq
qun’ngiaqtuq	qu+(n’ngi)+a+qtuq
mik	mi+(k)
hivuliqtiliuqtuq	hivul+iqt+(ili)+u+qtuq
itqiliq	itq+(i)+liq
apiqhuijuq	ap+iq+(hu)+i+j+uq
taliruq	ta+(li)+r+uq
pijumaphaaqtuq	p+ij+u+(mapha)+a+qtuq
uqqarikhijuq	(uqqari)+khi+juq
aannuraaqtuqtuq	a+an+n+(ura)+aqtu+qtuq
kitikmeoni	kit+(ikmeo)+ni
naunaiyaqhimayunititirauyautainnik	naun+a+iya+(q)+himayun+it+it+irau+ya+utain+nik
anguhuqtuq	ang+u+(hu)+qtuq
tamainun	t+ama+(in)+un
umilik	(umi)+lik
akiittuqtaqtuq	a+(k)+i+ittuq+ta+qtuq
uvajum	uva+(jum)
kipkaq	kip+(k)+aq
inukhuk	inu+(khu)+k
havakhimaaqpakhimayuq	hav+ak+(hima)+aq+p+akhima+yuq
pajaliqin	pa+(ja)+liq+in
ungahiktuq	ung+a+(hi)+kt+uq
imiruktuq	i+mir+(u)+kt+uq
sanirajak	sa+ni+ra+(ja)+k
kajangnaqtuq	ka+(ja)+ngna+qtuq
aallaniklu	a+(alla)+nik+lu
ikummat	iku+(mma)+t
nangiaqtuittuq	na+ngi+(aqtu)+ittuq
paun’ngaq	pa+u+(n’ng)+aq
publaktuq	p+ub+(la)+kt+uq
tatijaa	tat+(i)+jaa
upalungairutingnik	up+a+lu+ng+(air)+ut+ingn+ik
uvaptingnik	uv+(a)+pting+nik
uqaqatigilugu	uqa+(qatigi)+lu+gu
amaqqut	ama+(qq)+ut
ikayuutikhainnut	ik+ayu+(uti)+kha+in+nut
hivumuuqpalliadjutikhaptingnut	hiv+um+uu+(qpallia)+djut+ikha+pting+nut
numiqtuq	nu+(mi)+qtuq
ayuittiagiikhimayunik	ayu+it+ti+a+(giikhima)+yu+nik
higaakhaq	hig+aa+(kh)+aq
qaritauyakkut	qa+ritauya+(kku)+t
taktakhaliqinikkut	ta+(ktakha)+liq+inikk+ut
quanaqpiaqqutik	quana+qpi+(aqq)+uti+k
ulapqipkaivikhainik	ul+apq+i+pka+(ivi)+khai+nik
kanguq	ka+(ngu)+q
qujagijaa	qu+(ja)+gijaa
akurut	ak+u+(rut)
taaqhijuq	ta+(aqhi)+j+uq
hinikhaaqtuq	hi+n+(ikha)+a+qtuq
aulanginaqpaklutik	aula+(ngi)+naq+pak+lutik
haput	ha+p+(ut)
niviuvarjuk	(niviuv)+ar+ju+k
kavamaliriyitkunnilu	k+ava+mal+(iriyi)+tk+unni+lu
immiqtaa	im+(mi)+qtaa
angutikhaq	an+(g)+utikh+aq
pivikhaqautikhanut	pi+(vikhaqauti)+kha+nut
higjaq	hi+(gja)+q
nungutaa	nu+(ngu)+taa
nuutaanguqtiqhimavakhimayut	nu+uta+ang+(u)+qtiq+hima+v+akhima+yut
tingiq	ti+(ngi)+q
itquqtuq	i+(tqu)+qtuq
hamanirmiut	ha+man+(i)+rmiut
ihajuq	i+(ha)+j+uq
lowe	(lowe)
ihariattigijauninganin	iharia+(tti)+gijauni+nga+n+in
ilu	i+(lu)
ataiqtuq	at+a+(i)+qtuq
piyakhait	pi+(yakha)+it
iigijaa	i+(i)+gijaa
akiruq	a+(ki)+r+uq
atuqtakharnik	at+uqt+(a)+khar+nik
kilgavik	kilg+a+vi+(k)
maamaun	(maama)+un
havagviit	hav+a+gv+(i)+it
piiqtuq	pi+(i)+qtuq
pinahuarutit	pi+(nahuar)+uti+t
qilamik	qi+(la)+mik
amiq	a+(mi)+q
aputaijaijuq	ap+(utaija)+i+j+uq
tamaani	t+ama+(a)+ni
kingmitquq	k+ing+mi+(tqu)+q
kaangnirmit	ka+(ang)+ni+rm+it
patauliuqtuq	pa+ta+(uli)+u+qtuq
uqhurjuaqtaun	uqhurjua+(qta)+un
ingutaaqtuq	i+(ngu)+taa+qtuq
aqagu	a+(qa)+gu
ihumaliurutikhat	i+hu+(maliur)+utikh+at
ilulliq	ilu+(lli)+q
hurluktuq	hu+(rlu)+kt+uq
maliktaa	mal+i+(k)+taa
ukkuhik	uk+(kuhi)+k
quanaqpiaqquhi	quana+qpi+(aqqu)+hi
akulliquti	(akulliq)+uti
akikittuq	aki+(k)+ittuq
anirniq	a+(ni)+r+niq
aturutikhanik	at+u+(r)+utikh+a+nik
akhaluut	ak+ha+(lu)+ut
atauhiq	at+a+(uhi)+q
inuaqhutik	inu+(aq)+hu+tik
kavamangit	ka+(vama)+ngit
angujakti	ang+u+(jakti)
ilgak	(ilga)+k
nunallanutlu	nuna+(ll)+anut+lu
uummat	uumm+a+(t)
atatjutinik	at+a+(tj)+uti+nik
qimirluk	qi+(mir)+lu+k
amingnik	(a)+mi+ng+nik
haamlakunnit	(haamla)+k+unni+t
alguilitaq	algu+(ili)+taq
itiq	it+(i)+q
niriqatigingnirmik	niri+(qatigi)+ng+nir+mik
ulipkaaqtaa	uli+pka+(a)+qtaa
iijaa	i+(i)+jaa
an’rajuktuq	an’r+(aju)+kt+uq
iliuraqtauhimayuluunniit	ili+(uraqtauhimayu)+lu+unni+it
maligaliuryuarvingmun	mal+(igaliu)+ryua+rvi+ngmu+n
ihuaqtut	i+hu+(aqtu)+t
qaritaugaani	qa+(ritauga)+ani
ihuarhainikkut	i+huarha+(i)+nik+kut
ihuuqiq	i+hu+(uqi)+q
qijjaktuq	qi+(jja)+kt+uq
havaanganik	hav+aa+(nga)+nik
itaanganik	(it)+aa+nga+nik
ulujjat	u+lu+(jja)+t
uvaguk	uva+(gu)+k
timimi	ti+(mi)+mi
pijumaffaaqtuq	p+ij+u+(maffaa)+qtuq
ubluliuqtuq	ub+lu+(li)+u+qtuq
maraaqtuq	ma+(ra)+a+qtuq
haavitaa	ha+(avi)+taa
havagviani	hav+a+gv+(i)+ani
atukkiqtuq	at+u+(kk)+i+qtuq
ikayullannga	ik+ayu+(lla)+nnga
haulluun	ha+(ullu)+un
ningahuktuq	ni+(ngahu)+kt+uq
taffumungalu	ta+(ffumu)+nga+lu
ivjaruhiqtaa	ivj+ar+(uhi)+qtaa
atuqtaujjuhighaat	at+uqtau+(jju)+hi+gha+at
kitittijuq	ki+(titti)+j+uq
ayuinikkut	a+(yu)+inikk+ut
aquihimajuq	aq+u+(i)+hi+majuq
haamlatkut	ha+(amlat)+kut
qalruttuq	qa+(lru)+tt+uq
ataniata	a+t+an+(i)+at+a
hiku	hi+(ku)
aadjikkutagiktitlugit	a+(adjikkutagik)+t+it+lu+git
naalaktuqnaalaktuq	na+al+akt+uqna+al+(a)+kt+uq
agliruq	a+(gli)+r+uq
uitait	u+(i)+t+a+it
arjaijarvik	arj+(aija)+rvik
kappiahuktuq	ka+p+pi+a+(hu)+kt+uq
ikpati	ikp+(a)+ti
kapuun	ka+pu+(un)
lind	(li)+n+d
aulanikkut	a+u+(la)+nik+kut
manikharvikhanik	man+ik+ha+(rvi)+k+ha+nik
pukukkit	pu+(kukk)+it
higaaqtuq	hig+aa+(qtu)+q
qukturaq	qu+(ktu)+raq
ilaun	il+au+(n)
qiniqhinait	qin+iqhi+(na)+it
aputtaaq	ap+(utta)+aq
havakviit	hav+ak+(vi)+it
nunangni	nuna+(ngni)
aullapkaidjutingnik	a+ulla+pka+(idj)+ut+ingn+ik
tapkunani	ta+p+ku+(n)+ani
tapkununga	ta+p+ku+(nu)+nga
aituutikhaq	a+i+tu+(utikha)+q
aulatitiyukharniklu	aula+tit+(i)+yukh+ar+nik+lu
kamiktuqtuq	ka+mi+(ktu)+qtuq
ii	i+(i)
pihimanikkut	pi+(hima)+nik+kut
nigiaqtautinani	ni+g+(iaqtau)+tina+ni
angitqijaq	angi+(tqi)+j+aq
tunin’nguiqtirijuq	tu+ni+(n’nguiqtir)+i+j+uq
aqaguunnukpat	aqag+u+(unnu)+kp+at
afisiani	a+(fisi)+ani
makkaq	m+ak+(k)+aq
piksaliutiqaqtutin	pi+(ksaliu)+tiqaq+tut+in
iukkaqtuq	i+(ukk)+a+qtuq
malikhugit	mal+i+(k)+hu+git
pivalliavikhainnut	pi+vall+i+(avi)+kha+in+nut
havaqatigiiktutlu	hav+a+(qatigi)+ik+tut+lu
puvviujaq	puvvi+(uj)+aq
imaalu	ima+(a)+lu
imnaiq	im+(naiq)
qakipqajuq	qa+(kipqa)+j+uq
ilirahuktuq	ilira+(hu)+kt+uq
igluqpanun	igluqpa+(n)+un
takukkit	taku+(k)+k+it
qanikturiiktuk	qa+ni+(ktur)+i+iktuk
taaq	(ta)+aq
tui	tu+(i)
takupkaqvikhaatigut	takupka+(qvikha)+at+igut
upalunggaiyainirmun	up+a+lu+ng+(gaiyai)+ni+rmun
haglujuq	ha+(glu)+j+uq
tingmiaqpak	tingmi+(aqpa)+k
igluktuuqtuq	i+glu+(ktu)+u+qtuq
tuqutqajaktuq	t+uq+ut+(qaja)+kt+uq
anguut	ang+u+(u)+t
qunguhiq	qu+ng+u+(hi)+q
arvinilitaippaa	arvin+ilit+(aippaa)
aulattiji	aula+(tti)+ji
huliva	huli+(va)
qakuqhijuq	qa+ku+(qhi)+j+uq
unnuk	un+(n)+uk
ubluqhiut	ub+lu+(qhi)+ut
aquttuq	(aqu)+tt+uq
kivijuq	ki+(vi)+j+uq
makaqtaa	m+ak+(a)+qtaa
niglaktuq	ni+g+(la)+kt+uq
ikijjuk	iki+(jju)+k
aullaghimanuahuaqtutut	a+ulla+(g)+hima+nuahu+aqtu+tut
kajumiktuq	(kajumi)+kt+uq
ukkuhikhaq	uk+(kuhi)+khaq
qakuguttauq	qa+ku+(guttauq)
aannuraaq	a+an+n+(ura)+aq
tikitinnatik	t+iki+(tinna)+tik
akhun	a+(kh)+un
angajuqqaaq	ang+aju+(qqa)+aq
ulimakkak	uli+ma+(kk)+ak
tugliqti	tu+(gli)+qti
kalliqtuq	ka+(lli)+qtuq
ikajuutaukpiakhungujuq	ikajuut+auk+pi+akhun+(g)+u+juq
ningauk	ni+(nga)+uk
upalungairutikharnik	up+a+lu+ng+(air)+utikh+ar+nik
kinngait	ki+(nnga)+it
ikayukpaqtut	ik+ayu+(kp)+aqtu+t
kamiijaqtuq	ka+mi+(ija)+qtuq
ilphi	il+(phi)
niuvrutikhaliqinikkut	niuvr+(utikha)+liq+inikk+ut
papiqqiqijuq	pa+piqq+(iq)+i+j+uq
uqaq	uqa+(q)
qiqaijaluarvia	qi+qai+(jalua)+rvi+a
qalairaqtuq	qa+(la)+ira+qtuq
qangiutigumi	qa+ngi+(uti)+gu+mi
juus	(juus)
itiktaqtuq	(iti)+kta+qtuq
aglualiuqtuq	a+glu+(ali)+u+qtuq
kakaktuq	ka+(ka)+kt+uq
kiahik	ki+(ahi)+k
pallukaqtuq	pa+(lluk)+a+qtuq
paan’nguqtuq	pa+an’ng+(u)+qtuq
hanaidjutikhangit	ha+na+(idj)+utikh+a+ngit
ihummarluktuq	i+hu+(mmarlu)+kt+uq
paurvik	pa+(u)+rvik
ikkalruq	ikk+(alr)+uq
killaijaijuq	kill+(aija)+i+j+uq
atuqtakhanik	at+uqt+(a)+k+ha+nik
miqhuqtitaq	mi+(qhu)+qti+t+aq
pingangnaqtuq	pinga+(ngna)+qtuq
ulipkaaqtuq	uli+pka+(a)+qtuq
anikkurijuq	a+ni+(kkuri)+j+uq
hangutitaqtuq	ha+nguti+(t)+a+qtuq
itibjaaq	(itibja)+aq
upin’rakhaq	u+p+i+(n’ra)+khaq
anaqtaun	an+(aqta)+un
parnautikhaliuqtainik	pa+(rna)+utikh+a+liuq+tai+nik
aqiatuhuktuq	aq+ia+(tuhu)+kt+uq
tunihidjutikhainik	tu+ni+(hidj)+utikh+a+i+nik
tunuttuq	tu+n+(u)+tt+uq
uqumuujuq	u+qum+(u)+u+juq
tukiliurut	t+uk+(iliur)+ut
nuniq	nu+(ni)+q
qauyihaidjutikharnik	qa+uyi+ha+(i)+dj+utikh+ar+nik
qitun’ngaq	qi+tu+(n’ng)+aq
ipummiqtuq	ip+(ummi)+qtuq
ihumaliurutikhaniklu	i+hu+(maliur)+utikh+a+nik+lu
alilajuq	al+i+(la)+j+uq
arjakuurvik	arja+(kuu)+rvik
qilamiuqtuq	qi+la+(mi)+u+qtuq
taamna	ta+(a)+mna
aariarmik	a+(ariar)+mik
qablunaatun	qa+blu+(naat)+un
tatqiqhiut	tat+q+iqhi+(u)+t
tikitaa	t+iki+(taa)
ihuakhaidjutikhaniklu	i+hu+(akhaidj)+utikh+a+nik+lu
tuniyahimanngitpat	tu+ni+(ya)+hima+nngitpat
tuuqtaa	tu+(u)+qtaa
aqiaruaramik	a+qi+aru+(ara)+mik
qaphit	qap+(hi)+t
hukatirun	hu+ka+(tir)+un
majuraun	ma+j+u+(ra)+un
atugaq	a+tug+(a)+q
akulliq	(akulliq)
iiluktuq	i+(ilu)+kt+uq
maligutikhanik	mal+i+(g)+utikh+a+nik
qattarjuk	(qattarju)+k
puiguqtaa	pu+(igu)+qtaa
timait	ti+(ma)+it
iep	(iep)
tangmaarutikharnik	t+ang+ma+(a)+r+utikh+ar+nik
ayuinnirnik	ayu+i+(n)+nir+nik
tuulligaaq	tu+(ulli)+ga+aq
haanlatkut	ha+(anla)+tkut
qupilruq	qu+(pil)+r+uq
aukhittiaqhimajuq	auk+(hittiaq)+hi+majuq
huraaqhiuqtuq	hu+ra+(aqhi)+u+qtuq
ilagikmiya	ilagi+(kmiya)
tamayatit	ta+(mayati)+t
aulatitiyaangatlu	aula+tit+(i)+yaang+atlu
tahirmi	ta+(hir)+mi
havarluqutainnannguqtuq	hav+a+(rluquta)+in+nanngu+qtuq
taitai	ta+i+(ta)+i
makpiraaq	makp+(ira)+aq
alrujiqinikkut	alruj+i+(q)+inikk+ut
hungajangajuq	hu+(ngaja)+nga+juq
pittiaqtumik	pi+(ttiaq)+tu+mik
hivulliujuq	hivul+li+(u)+j+uq
itigak	(itig)+ak
inukpak	inu+(kpak)
avataani	ava+(ta)+ani
milugiaq	mi+lu+(gi)+aq
akimajuktuq	aki+ma+(ju)+kt+uq
nappannguqtuq	na+(ppanng)+u+qtuq
pualrin	pu+alri+(n)
qilirniiqtaa	q+ili+rn+(ii)+qtaa
ajaraaqtuq	a+(jara)+a+qtuq
aullaqtinnagit	a+ull+aq+(tinna)+git
qiniqhiayiiyut	qin+iqhi+a+(yii)+yut
ujuruk	(ujuru)+k
ainniq	a+(in)+niq
huna	hu+(na)
aanniarutip	a+an+n+(i)+ar+utip
minguliqtuq	mingul+(i)+qtuq
piqalujaq	pi+(qalu)+j+aq
taingna	ta+i+(ngna)
tarraq	ta+(r)+raq
tikinnani	t+iki+(nna)+ni
mitquiqtaa	mitqu+(i)+qtaa
emergency	(emergency)
ilanginiklu	i+la+(ngi)+nik+lu
ikualaarnikkut	iku+al+a+(ar)+nik+kut
titqaun	ti+(tqa)+un
aulatjutinun	aula+t+j+ut+(i)+n+un
piannaq	pi+anna+(q)
anujaa	an+(u)+jaa
qaqquq	qa+q+qu+(q)
ministanun	m+inista+(nu)+n
kivjaqtaa	ki+(vja)+qtaa
ilitquhiinut	ilit+(quhii)+nut
alraaq	a+(lra)+aq
uivitullu	u+(ivi)+t+ullu
angunahuaqtuq	ang+u+(nahu)+a+qtuq
kangiqhijaa	kang+iqhi+(jaa)
qaffinik ukiuqaqqa	qa+(ffi)+nik+ u+kiuqaq+qa
piksaliuqtaa	pi+(ksaliu)+qtaa
mallaujuq	ma+(lla)+u+juq
aulapakitjutainni	aula+p+ak+(itj)+utain+ni
annut	an+nu+(t)
allarun	a+(llar)+un
pukkuliqhit	pu+(kku)+liq+hit
ikajuqtaa	ik+a+(ju)+qtaa
qujahuktuq	quja+(hu)+kt+uq
minilaqijuq	min+(ilaq)+i+j+uq
taimaaqtuq	t+a+i+ma+(a)+qtuq
tiggutik	tig+(gu)+tik
akun’nganiittuq	ak+u+(n’ng)+ani+ittuq
aqhalingiaq	aq+halin+(giaq)
taaksiyautinik	ta+ak+si+(ya)+uti+nik
tuniyauvaktut	tu+ni+(yau)+vak+tut
ihuigiyauyunik	i+hu+(igiyau)+yu+nik
taitaiffaaqtuq	t+a+itai+(ffa)+a+qtuq
hivunikhangit	hivun+(ikha)+ngit
aqhaliaq	aq+ha+(li)+aq
qilalugaqtuq	qi+la+(lug)+a+qtuq
uqauhiingit	uqa+(uhi)+i+ngit
ubluqtuhinia	ub+lu+(qtu)+hi+ni+a
qijuvik	qi+(ju)+vi+k
mikhaanun	mi+(kha)+anu+n
palvinaqtuq	pa+lvi+(n)+a+qtuq
akin	a+(ki)+n
mamaqtuq	ma+(ma)+qtuq
aadlanutlu	aa+(dl)+anut+lu
aqagumunngaqqqat	aqagum+unng+aq+q+(q)+at
akunniq	a+(kun)+niq
uunnaaqtuq	(uunna)+a+qtuq
tikitinnagit	t+iki+(tinna)+git
aannialaqidjutit	a+anni+(alaqi)+djut+it
mirrianguyuq	mirria+(ng)+u+yuq
aquplingajuq	a+qu+p+(li)+nga+juq
inuvialuit	inu+(via)+lu+it
kuugarjuk	ku+(ug)+ar+ju+k
katuuti	ka+(tuuti)
kuugaq	(kuu)+gaq
iluani	(ilu)+ani
marluk	ma+(rlu)+k
ungirlaaq	(ungir)+laaq
aannaktuliqiyikunullu	a+an+n+(aktu)+liq+iyik+un+ullu
natiq	na+(ti)+q
niuviqtuni	ni+uv+i+(qtu)+ni
umingmaaq	umingma+(a)+q
tajarmiaq	ta+(jarmi)+aq
ayuiqpaliadjutauyut	ayu+i+(qpalia)+djut+auyut
havautikhainnik	hav+a+(utikha)+in+nik
kapukhirnirmi	ka+pu+(khir)+nir+mi
qalaktuq	qa+l+(a)+kt+uq
tunmirautit	tu+n+(mira)+uti+t
ukiaq	uk+i+(a)+q
piannarviit	pi+anna+(r)+vi+it
ikayuqpagait	ik+ayu+(qpaga)+it
havangnanuk	hav+a+(ngna)+nuk
ikayukhimaanginaanginaptingnik	ikayukhi+ma+angi+(naangina)+pting+nik
iqqanaiqtuq	iq+qa+(na)+i+qtuq
ukalaaq	uk+(ala)+aq
qanurittaaqhaanut	qa+nur+(itta)+aqha+anut
puptat	pu+(pta)+t
pidjutiqaqtut	p+idjut+(iq)+aqtu+t
niaqqulrujuq	ni+aq+qu+(lru)+j+uq
inutquaq	inu+(tqu)+aq
nguqan	(ngu)+qa+n
nipitqaqtuq	ni+pit+(q)+a+qtuq
afisimun	a+(fisi)+m+un
tuniyaulunilu	tu+ni+(yau)+lu+nilu
iijjirurvia	iijjir+(u)+rvi+a
uningajuq	un+(i)+nga+juq
ihuani	i+hu+(a)+ni
aullarnikkut	a+ulla+(r)+nik+kut
kavamangitni	ka+(vama)+ngit+n+i
ulingajuq	(uli)+nga+juq
tukiliurutiliuqtut	t+uk+(iliur)+uti+liuq+tut
atuut	at+u+(u)+t
